directory,filename,format,size (MB)
F:\Backup\Datasets\Downloads\VG100\VG_100K,2360377.jpg,.jpg,0.13553810119628906
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2379522.jpg,.jpg,0.12551593780517578
F:\Backup\Datasets\Downloads\VG100\VG_100K,2372682.jpg,.jpg,0.1715984344482422
F:\Backup\Datasets\Downloads\VG100\VG_100K,2340880.jpg,.jpg,0.15603065490722656
F:\Backup\Datasets\descartadas\distância,2008_007544.jpg,.jpg,0.18536853790283203
F:\Iniciação Científica\Detecções de objetos\TM - Libras\Dataset\Tamanho original\Hospitalar\alergia,alergia - 17 - m.jpg,.jpg,0.17166709899902344
F:\Identificação Vacas\Cow Database\imagens\43,876.jpeg,.jpeg,0.45510005950927734
F:\Backup\Datasets\Downloads\VG100\VG_100K,1159421.jpg,.jpg,0.4564666748046875
F:\Backup\Datasets\Downloads\VG100\VG_100K,2358423.jpg,.jpg,0.1669158935546875
F:\Identificação Vacas\Cow Database\imagens\39,303.jpeg,.jpeg,0.44014644622802734
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2393754.jpg,.jpg,0.12095832824707031
F:\Backup\Datasets\Downloads\VG100\VG_100K,2324797.jpg,.jpg,0.2054767608642578
F:\Backup\Datasets\Downloads\VG100\VG_100K,2330077.jpg,.jpg,0.1305685043334961
F:\Backup\Datasets\Downloads\VG100\VG_100K,1592210.jpg,.jpg,0.3597240447998047
F:\Backup\Datasets\Downloads\VG100\VG_100K,2362484.jpg,.jpg,0.21265506744384766
F:\Backup\Datasets\Cow Calf Pictures _ Download Free Images on\vacas\Bezerro,photo-1597433163297-78f8e46978c3.jpg,.jpg,27.08399486541748
F:\Backup\Datasets\Downloads\VG100\VG_100K,2317331.jpg,.jpg,0.1322469711303711
F:\Backup\Datasets\Downloads\VG100\VG_100K,2330752.jpg,.jpg,0.1320943832397461
F:\Backup\Datasets\Downloads\VG100\VG_100K,2320780.jpg,.jpg,0.11548995971679688
F:\Identificação Vacas\Cow Database\imagens\53,1754.jpeg,.jpeg,0.48448657989501953
F:\Backup\Datasets\Downloads\VG100\VG_100K,2325351.jpg,.jpg,0.15137004852294922
F:\Iniciação Científica\Happy Cow ID\Detecção de Faces\Datasets\train-rotuladas-unsplash,face_736.jpg,.jpg,1.5873966217041016
F:\Backup\Datasets\Downloads\VG100\VG_100K,1592731.jpg,.jpg,0.4098043441772461
F:\Backup\Datasets\Cow Calf Pictures _ Download Free Images on\vacas\Vaca,medium - 2021-08-17T150808.331.jpg,.jpg,0.12606239318847656
F:\Identificação Vacas\Cow Database\imagens\03,1355.jpeg,.jpeg,0.47725868225097656
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2380775.jpg,.jpg,0.11673259735107422
F:\Backup\Datasets\Downloads\VG100\VG_100K,2375647.jpg,.jpg,0.10087108612060547
F:\Identificação Vacas\Cow Database\imagens\42,482.jpeg,.jpeg,0.49463844299316406
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2377741.jpg,.jpg,0.15561580657958984
F:\Backup\Datasets\Downloads\VG100\VG_100K_2,2391185.jpg,.jpg,0.10733413696289062
F:\Backup\Datasets\Downloads\VG100\VG_100K,2344117.jpg,.jpg,0.17262744903564453
F:\Backup\Datasets\Downloads\VG100\VG_100K,497954.jpg,.jpg,0.39594173431396484
F:\Identificação Vacas\Cow Database\imagens\77,2056.jpeg,.jpeg,0.44698524475097656
F:\Backup\Datasets\Downloads\VG100\VG_100K,2335123.jpg,.jpg,0.11221981048583984
F:\Identificação Vacas\Cow Database\imagens\47,140.jpeg,.jpeg,0.49756908416748047
